location,name,dm,cost_date,dcp_food,dcp_paper,dcp_supplies,br_supplies,sales_tax_dcp,for_the_week_end,production,total_food_cost,total_paper_cost,flash_food_total
348508,"681 East Main Str, MK",Brad McAllister,2025-06-04,0,0,0,0,0,0,189.48,189.48,0,189.48
345229,"137 Wildey Str, Tarrytown",Brad McAllister,2025-06-04,0,0,0,0,0,0,187.1,187.1,0,187.1
346640,"1520 East Main Str, Duncan",Brianna Royster,2025-06-04,4001.83,824.28,254.81,0,13.37,5094.29,0,4015.2,1079.09,5094.29
330220,"1779 Woodruff Rd, Greenv",Brianna Royster,2025-06-04,2286.32,403.45,167.88,0,11.06,2868.71,0,2297.38,571.33,2868.71
356343,"722 Grove Rd, Greenville",Brianna Royster,2025-06-04,2762.9,545.06,311.93,0,11.79,3631.68,0,2774.69,856.99,3631.68
346538,"697 Fairway Rd, Simps.",Brianna Royster,2025-06-04,3165.48,501.64,474.39,0,5.94,4147.45,0,3171.42,976.03,4147.45
349940,"101 S. Main Str, Mauldin",Brianna Royster,2025-06-04,3584.54,685.35,116.38,0,7.94,4394.21,0,3592.48,801.73,4394.21
351044,"1481 Weaver Rd, Scarsdale",Dan Castriota,2025-06-04,0,0,0,0,0,0,175.23,175.23,0,175.23
345003,"10 Depot Way, Scarsdale",Dan Castriota,2025-06-04,0,0,0,0,0,0,135.8,135.8,0,135.8
310000,"646 North Ave,New Rochelle",Dan Castriota,2025-06-04,0,0,0,0,0,0,325.65,325.65,0,325.65
302692,"302692 -50 Mamaroneck Ave, WP",Dan Castriota,2025-06-04,0,0,0,0,0,0,200.06,200.06,0,200.06
300241,"300241 -260 Halstead Ave, Harrison",Dan Castriota,2025-06-04,0,0,0,0,0,0,302.59,302.59,0,302.59
351953,"1333 North Ave, NR",Dan Castriota,2025-06-04,0,0,0,0,0,0,148.39,148.39,0,148.39
335687,"38 Mill Rd, Eastchester",Dan Castriota,2025-06-04,0,0,0,0,0,0,396.99,396.99,0,396.99
338698,"2241 Southern Blvd, Bronx",Imran Tayyab,2025-06-04,0,0,0,0,0,0,177.65,177.65,0,177.65
335404,"East Sanford Blvd, Mt.Vern",Imran Tayyab,2025-06-04,0,0,0,0,0,0,78.78,78.78,0,78.78
304622,"4090 Boston Post Rd, Bronx",Imran Tayyab,2025-06-04,0,0,0,0,0,0,283.55,283.55,0,283.55
340462,"1040 Westch. Ave, Bronx",Imran Tayyab,2025-06-04,0,0,0,0,0,0,228.84,228.84,0,228.84
332150,"1780 East Gun Hill Rd, Bx",Imran Tayyab,2025-06-04,0,0,0,0,0,0,248.29,248.29,0,248.29
332995,"850 Bronx Riv Rd, Yonk",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,232.07,232.07,0,232.07
